Sample	Group	Hits
SRR8902665	AAC3,	116
SRR8902665	APH2-DPRIME,	1161
SRR8902665	APH3-DPRIME,	1661
SRR8902665	APH3-PRIME,	765
SRR8902665	ARLR,	353
SRR8902665	ARLS,	333
SRR8902665	ARSC,	112
SRR8902665	BLAI,	423
SRR8902665	BLAR,	809
SRR8902665	BLAZ,	305
SRR8902665	CADD,	486
SRR8902665	CLS,RequiresSNPConfirmation	846
SRR8902665	COPZ,	312
SRR8902665	DFRB,RequiresSNPConfirmation	378
SRR8902665	DHAP,	847
SRR8902665	FABI,	389
SRR8902665	FOLP,RequiresSNPConfirmation	533
SRR8902665	FOSB,	82
SRR8902665	FUSA,RequiresSNPConfirmation	2290
SRR8902665	FUSE,RequiresSNPConfirmation	604
SRR8902665	GLPT,RequiresSNPConfirmation	1031
SRR8902665	GRLA,RequiresSNPConfirmation	194
SRR8902665	GRLB,RequiresSNPConfirmation	61
SRR8902665	GYRA,RequiresSNPConfirmation	2464
SRR8902665	GYRBA,RequiresSNPConfirmation	2325
SRR8902665	ILES,RequiresSNPConfirmation	2028
SRR8902665	LMRS,	1000
SRR8902665	MECA,	687
SRR8902665	MENA,RequiresSNPConfirmation	806
SRR8902665	MEPA,	686
SRR8902665	MEPB,	189
SRR8902665	MEPR,	204
SRR8902665	MGRA,	285
SRR8902665	MPHC,	2580
SRR8902665	MPRFD,RequiresSNPConfirmation	1477
SRR8902665	MSRA,	2080
SRR8902665	MURA,RequiresSNPConfirmation	1333
SRR8902665	NORA,	477
SRR8902665	NORB,	865
SRR8902665	NORC,	1523
SRR8902665	O23S,RequiresSNPConfirmation	18896
SRR8902665	PARC,RequiresSNPConfirmation	1521
SRR8902665	PARE,RequiresSNPConfirmation	1016
SRR8902665	PBP2,RequiresSNPConfirmation	2022
SRR8902665	PBP4,RequiresSNPConfirmation	1038
SRR8902665	PERR,	82
SRR8902665	PGSA,RequiresSNPConfirmation	195
SRR8902665	RLMH,	552
SRR8902665	RPOB,RequiresSNPConfirmation	3525
SRR8902665	RPOCL,RequiresSNPConfirmation	3062
SRR8902665	SAT,	1967
SRR8902665	SDRM,	460
SRR8902665	SEPA,	1423
SRR8902665	TET38,	793
SRR8902665	TUFAB,RequiresSNPConfirmation	805
SRR8902665	UHPT,RequiresSNPConfirmation	1359
SRR8902665	WALK,RequiresSNPConfirmation	1432
